#format table ## [Custom WaveView] saved 17:43:25 Mon Sep 28 2020
#logic 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 
 TIME 0x|0|v(sen_fout_col_p<0>)-0|v(sen_fout_col_n<0>) 0x|0|v(sen_fout_col_p<1>)-0|v(sen_fout_col_n<1>) 0x|0|v(sen_fout_col_p<2>)-0|v(sen_fout_col_n<2>) 0x|0|v(sen_fout_col_p<3>)-0|v(sen_fout_col_n<3>) 0x|0|v(sen_fout_col_p<4>)-0|v(sen_fout_col_n<4>) 0x|0|v(sen_fout_col_p<5>)-0|v(sen_fout_col_n<5>) 0x|0|v(sen_fout_col_p<6>)-0|v(sen_fout_col_n<6>) 0x|0|v(sen_fout_col_p<7>)-0|v(sen_fout_col_n<7>) 0x|0|v(sen_fout_row_p<0>)-0|v(sen_fout_row_n<0>) 0x|0|v(sen_fout_row_p<1>)-0|v(sen_fout_row_n<1>) 0x|0|v(sen_fout_row_p<2>)-0|v(sen_fout_row_n<2>) 0x|0|v(sen_fout_row_p<3>)-0|v(sen_fout_row_n<3>) 0x|0|v(sen_fout_row_p<4>)-0|v(sen_fout_row_n<4>) 0x|0|v(sen_fout_row_p<5>)-0|v(sen_fout_row_n<5>) 0x|0|v(sen_fout_row_p<6>)-0|v(sen_fout_row_n<6>) 0x|0|v(sen_fout_row_p<7>)-0|v(sen_fout_row_n<7>) 

* TIME       C0  C1  C2  C3  C4  C5  C6  C7  R0  R1  R2  R3  R4  R5  R6  R7
 1.20750E-04 801 801 725 801 7FE 7FE 7FE 7FE 804 807 811 811 805 7EB 7E9 7F6 
 1.21000E-04 801 801 729 801 7FE 7FE 7FE 7FE 804 807 813 818 7EA 7E4 7E8 7F6 
 1.21250E-04 801 801 72C 801 7FE 7FE 7FE 7FE 804 807 815 81E 7CF 7DE 7E6 7F7 
 1.21500E-04 801 801 730 800 7FE 7FF 7FE 7FE 803 807 816 823 7B6 7D9 7E6 7F8 
 1.21750E-04 801 800 734 800 7FE 7FF 7FE 7FF 803 807 816 825 7A0 7D7 7E7 7F9 
 1.22000E-04 801 800 738 800 7FE 7FF 7FE 7FF 802 806 816 827 78C 7D6 7E8 7FA 
 1.22250E-04 801 800 73D 7FF 7FE 800 7FE 7FF 801 805 815 828 77A 7D5 7E9 7FC 
 1.22500E-04 801 7FF 743 7FF 7FE 800 7FE 7FF 801 804 813 824 773 7D9 7EC 7FD 
 1.22750E-04 801 7FF 749 7FF 7FE 800 7FE 800 800 802 811 821 76B 7DD 7EF 7FF 
 1.23000E-04 800 7FF 750 7FE 7FE 800 7FE 800 7FF 801 80F 81D 764 7E2 7F2 801 
 1.23250E-04 800 7FF 756 7FE 7FE 801 7FF 800 7FE 800 80D 81A 75D 7E6 7F5 802 
 1.23500E-04 800 7FE 75F 7FE 7FF 801 7FF 800 7FE 7FF 80A 812 766 7EF 7F8 803 
 1.23750E-04 800 7FE 767 7FE 7FF 801 7FF 801 7FD 7FD 807 809 771 7F8 7FC 805 
 1.24000E-04 800 7FE 770 7FE 7FF 801 7FF 801 7FD 7FC 804 801 77D 802 7FF 806 
 1.24250E-04 7FF 7FE 779 7FE 7FF 801 800 801 7FC 7FB 801 7F8 788 80B 803 807 
 1.24500E-04 7FF 7FE 782 7FE 800 801 800 801 7FC 7FA 7FD 7EF 794 815 806 808 
 1.24750E-04 7FF 7FE 78A 7FE 800 801 800 801 7FC 7F8 7FA 7E6 79F 81F 809 809 
 1.25000E-04 7FF 7FE 793 7FD 800 802 800 801 7FB 7F7 7F7 7DE 7AB 828 80D 80A 
 1.25250E-04 7FE 7FE 79D 7FE 800 801 800 801 7FB 7F6 7F4 7D3 7C4 834 810 80A 
 1.25500E-04 7FE 7FE 7A7 7FE 801 801 801 801 7FB 7F6 7F1 7C8 7DD 83F 813 80A 
 1.25750E-04 7FE 7FE 7B2 7FE 801 801 801 801 7FB 7F5 7EF 7BD 7F8 84B 815 80A 
 1.26000E-04 7FE 7FE 7BC 7FE 801 801 801 801 7FB 7F5 7ED 7B4 813 854 817 809 
